Solution Number =1
Step		Time Taken(ms)		Scope 
0		1255		10
1		755		10
2		554		10
3		543		10
4		672		10
5		651		10
6		771		10
7		933		10
8		662		10
9		652		10
10		755		10
11		862		10
12		1919		10
13		1017		10
14		1414		10
15		1341		10
16		1693		10
17		1925		10
18		1078		10
19		1986		10
20		2171		10
21		2698		10
22		2377		10
23		2390		10
24		2626		10
25		2776		10
26		2413		9
27		0		0
28		434		10
29		392		10
30		442		10
31		456		10
32		552		10
33		465		10
34		449		10
35		535		10
36		757		10
37		522		10
38		709		10
39		564		10
40		682		10
41		888		10
42		1558		10
43		790		10
44		771		10
45		1243		10
46		1181		10
47		1531		10
48		1806		10
49		2443		10
50		1390		10
51		1441		10
52		1719		10
53		2359		10
54		2404		10
55		2317		10
56		2428		10
57		2680		9
58		2909		10
59		2646		10
60		2339		10
61		1779		9
62		2796		10
63		2096		9
64		2493		9
65		2666		10
66		2803		9
67		2342		9
68		2243		9
69		2769		9
70		0		0
71		624		10
72		505		10
73		414		10
74		579		10
75		650		10
76		590		10
77		967		10
78		799		10
79		571		10
80		537		10
81		583		10
82		563		10
83		785		10
84		913		10
85		1152		10
86		1128		10
87		1079		10
88		1395		10
89		1613		10
90		1740		10
91		2177		10
92		2424		10
93		2232		10
94		1458		10
95		2408		10
96		2680		10
97		1222		10
98		1793		9
99		2475		10
100		2918		10
101		2567		10
102		1387		9
103		2677		10
104		1697		9
105		0		0
106		486		10
107		433		10
108		533		10
109		576		10
110		691		10
111		760		10
112		664		10
113		675		10
114		685		10
115		741		10
116		1338		10
117		902		10
118		653		10
119		699		10
120		734		10
121		1011		10
122		1230		10
123		1155		10
124		932		10
125		894		10
126		951		10
127		1143		10
128		1199		10
129		841		10
130		1212		10
131		1497		10
132		1506		10
133		1767		10
134		1825		10
135		2189		10
136		2378		10
137		2179		10
138		1669		10
139		1646		10
140		1706		10
141		2586		10
142		2682		10
143		2964		10
144		1992		10
145		2476		10
146		1587		9
147		1898		9
148		2959		10
149		1710		9
150		0		0
151		706		10
152		515		10
153		713		10
154		396		10
155		725		10
156		1210		10
157		662		10
158		770		10
159		613		10
160		602		10
161		545		10
162		658		10
163		774		10
164		601		10
165		1072		10
166		767		10
167		758		10
168		676		10
169		1638		10
170		1572		10
171		1952		10
172		1418		10
173		2166		10
174		1586		10
175		2097		10
176		2958		10
177		2168		10
178		1948		9
179		2807		10
180		2602		10
181		2400		10
182		1666		9
183		2544		10
184		2571		9
185		2910		10
186		1362		9
187		2869		10
188		2331		10
189		2617		10
190		0		0
191		387		10
192		461		10
193		439		10
194		682		10
195		738		10
196		828		10
197		783		10
198		532		10
199		877		10
200		983		10
201		704		10
202		1284		10
203		864		10
204		907		10
205		659		10
206		658		10
207		891		10
208		1010		10
209		966		10
210		1587		10
211		1355		10
212		1173		10
213		2626		10
214		2481		10
215		1524		9
216		2391		10
217		2503		10
218		1444		9
219		1422		10
220		1500		9
221		1845		9
222		2273		10
223		2989		9
224		2191		9
225		2718		10
226		2884		9
227		2127		9
228		2601		10
229		1793		9
230		2933		9
231		2664		9
232		2179		9
233		2323		9
234		2900		9
235		1838		9
236		0		0
237		462		10
238		584		10
239		527		10
240		450		10
241		1374		10
242		641		10
243		563		10
244		885		10
245		645		10
246		941		10
247		1019		10
248		1334		10
249		1191		10
250		959		10
251		1126		10
252		1063		10
253		1198		10
254		1553		10
255		1655		10
256		2649		10
257		2717		10
258		2077		9
259		2672		10
260		2254		9
261		2578		9
262		2334		10
263		2750		10
264		2802		10
265		1951		9
266		2506		9
267		2502		9
268		0		0
269		553		10
270		384		10
271		480		10
272		495		10
273		473		10
274		1015		10
275		499		10
276		650		10
277		758		10
278		687		10
279		657		10
280		1153		10
281		1051		10
282		859		10
283		797		10
284		905		10
285		1987		10
286		1731		10
287		1179		10
288		2537		10
289		2492		10
290		2498		10
291		1948		10
292		2377		10
293		2521		10
294		2242		9
295		2267		9
296		1480		9
297		1316		9
298		1202		9
299		2538		10
300		2648		10
301		1990		9
302		0		0
303		542		10
304		527		10
305		454		10
306		424		10
307		538		10
308		529		10
309		701		10
310		427		10
311		548		10
312		534		10
313		658		10
314		515		10
315		1151		10
316		673		10
317		764		10
318		649		10
319		762		10
320		679		10
321		723		10
322		2969		10
323		2977		10
324		2354		10
325		2799		10
326		1850		10
327		1950		9
328		2775		10
329		2631		10
330		2205		9
331		2077		9
332		2794		9
333		2968		9
334		0		0
335		459		10
336		886		10
337		459		10
338		679		10
339		548		10
340		729		10
341		734		10
342		703		10
343		1054		10
344		738		10
345		899		10
346		1057		10
347		673		10
348		795		10
349		1268		10
350		557		10
351		1305		10
352		1477		10
353		1124		10
354		2758		10
355		1825		10
356		2857		10
357		2895		10
358		0		0
359		445		10
360		437		10
361		680		10
362		746		10
363		755		10
364		658		10
365		560		10
366		800		10
367		654		10
368		503		10
369		639		10
370		1124		10
371		721		10
372		933		10
373		1342		10
374		1420		10
375		1458		10
376		1357		10
377		1143		10
378		2522		10
379		1922		10
380		1945		10
381		1837		10
382		2588		10
383		2882		10
384		2245		10
385		2235		9
386		2604		10
387		2084		9
388		2353		9
389		2275		9
390		2021		9
391		2355		9
392		0		0
393		437		10
394		607		10
395		450		10
396		429		10
397		391		10
398		675		10
399		686		10
400		688		10
401		574		10
402		609		10
403		1325		10
404		791		10
405		692		10
406		984		10
407		761		10
408		1130		10
409		1539		10
410		1255		10
411		2003		10
412		2558		10
413		1653		10
414		2001		10
415		2826		10
416		2505		10
417		2289		9
418		2891		10
419		2749		10
420		1559		9
421		2563		10
422		0		0
423		514		10
424		557		10
425		508		10
426		513		10
427		460		10
428		1008		10
429		812		10
430		574		10
431		818		10
432		711		10
433		602		10
434		976		10
435		838		10
436		781		10
437		1734		10
438		1240		10
439		1557		10
440		1335		10
441		1215		10
442		1708		10
443		1792		10
444		2812		9
445		1889		10
446		2357		10
447		2365		10
448		1899		10
449		2739		10
450		2917		10
451		2787		9
452		2106		9
453		0		0
454		396		10
455		387		10
456		450		10
457		697		10
458		480		10
459		634		10
460		501		10
461		671		10
462		823		10
463		1858		10
464		906		10
465		859		10
466		708		10
467		645		10
468		1508		10
469		1155		10
470		2275		10
471		1238		10
472		1363		10
473		2120		10
474		1846		10
475		2448		10
476		1913		10
477		2616		10
478		2647		10
479		2659		10
480		2117		10
481		2526		10
482		1913		9
483		2742		10
484		0		0
485		434		10
486		531		10
487		478		10
488		390		10
489		1240		10
490		744		10
491		686		10
492		691		10
493		501		10
494		696		10
495		938		10
496		1094		10
497		1231		10
498		1237		10
499		1374		10
500		1337		10
501		1758		10
502		989		9
503		1746		10
504		1639		9
