Solution Number =1
Step		Time Taken(ms)		Scope 
0		93		5
1		48		5
2		41		5
3		31		5
4		82		5
5		36		5
6		27		5
7		37		5
8		26		5
9		31		5
10		48		5
11		34		5
12		31		5
13		35		5
14		56		5
15		34		5
16		37		5
17		52		5
18		46		5
19		52		5
20		48		5
21		34		5
22		44		5
23		39		5
24		49		5
25		30		5
26		85		5
27		48		5
28		53		5
29		37		5
30		50		5
31		49		5
32		89		5
33		48		5
34		69		5
35		69		5
36		69		5
37		83		5
38		83		5
39		93		5
40		80		5
41		65		5
42		139		5
43		93		5
44		117		5
45		139		5
46		107		5
47		144		5
48		84		5
49		124		5
50		119		5
51		135		5
52		143		5
53		105		5
54		119		5
55		203		5
56		208		5
57		270		5
58		174		5
59		166		5
60		311		5
61		136		5
62		179		5
63		116		5
64		88		5
65		251		5
66		176		5
67		219		5
68		167		5
69		252		5
70		185		5
71		243		5
72		302		5
73		407		5
74		379		5
75		268		5
76		257		5
77		392		5
78		544		5
79		460		5
80		313		5
81		393		5
82		432		5
83		292		5
84		403		5
85		408		5
86		291		5
87		497		5
88		510		5
89		565		5
90		484		5
91		500		5
92		664		5
93		786		5
94		681		5
95		581		5
96		834		5
97		423		5
98		622		5
99		636		5
100		582		5
101		724		5
102		676		5
103		911		5
104		909		5
105		859		5
106		772		5
107		925		5
108		1138		5
109		782		5
110		767		5
111		924		5
112		883		5
113		823		5
114		681		5
115		894		5
116		700		5
117		831		5
118		704		5
119		1278		5
120		750		5
121		1009		5
122		985		5
123		906		5
124		802		5
125		846		5
126		1264		5
127		778		5
128		932		5
129		693		5
130		695		5
131		763		5
132		642		5
133		776		5
134		938		5
135		825		5
136		918		5
137		874		5
138		815		5
139		1151		5
140		1377		5
141		837		5
142		1155		5
143		871		5
144		942		5
145		1156		5
146		1094		5
147		1039		5
148		1364		5
149		917		5
150		1442		5
151		1413		5
152		1137		5
153		1208		5
154		1128		5
155		1133		5
156		1131		5
157		1051		5
158		1215		5
159		1426		5
160		20		5
161		19		5
162		20		5
163		27		5
164		20		5
165		19		5
166		39		5
167		22		5
168		35		5
169		47		5
170		51		5
171		51		5
172		48		5
173		43		5
174		52		5
175		79		5
176		75		5
177		102		5
178		94		5
179		124		5
180		101		5
181		83		5
182		80		5
183		73		5
184		96		5
185		137		5
186		113		5
187		112		5
188		96		5
189		146		5
190		153		5
191		118		5
192		121		5
193		120		5
194		169		5
195		131		5
196		143		5
197		120		5
198		293		5
199		227		5
200		195		5
201		164		5
202		164		5
203		235		5
204		223		5
205		178		5
206		291		5
207		287		5
208		259		5
209		237		5
210		253		5
211		445		5
212		442		5
213		321		5
214		300		5
215		315		5
216		237		5
217		262		5
218		244		5
219		336		5
220		244		5
221		280		5
222		289		5
223		337		5
224		471		5
225		407		5
226		328		5
227		480		5
228		391		5
229		290		5
230		411		5
231		375		5
232		388		5
233		422		5
234		321		5
235		458		5
236		448		5
237		438		5
238		454		5
239		511		5
240		415		5
241		407		5
242		625		5
243		633		5
244		606		5
245		683		5
246		674		5
247		543		5
248		582		5
249		585		5
250		787		5
251		576		5
252		642		5
253		690		5
254		881		5
255		864		5
256		504		5
257		820		5
258		527		5
259		552		5
260		680		5
261		611		5
262		588		5
263		708		5

 Total Steps=264
 Total Time=109521
 Number of solutions=2
